,i_x,i_y,i_z,t_x,t_y,t_z,r1,r2,r3,r1dot,r2dot,r3dot,u1,u2,u3,t
31,-17764.7743695169,-2992.914078609842,2877.11016613452,16879.260797551357,46191.14631364226,9025.9917130738,-41992.271029,-7756.0721199,7782.0055284,0.93978086008,-2.8240852061,-0.66975481154,1.3873841932e-06,5.3518542708e-05,6.5282254095e-06,24849.699398797595
32,-13749.40506409656,-4978.409320395588,1708.3238349375893,16736.874223080682,45754.70742406341,11242.053076371601,-41104.878789,-10021.206117,7217.2300348,1.1070218196,-2.8257546612,-0.70455742817,-1.4029944344e-06,5.2604520748e-05,7.0306242569e-06,25651.30260521042
33,-8605.434311867864,-6516.20780523901,406.91793066033836,16560.199277034953,45224.53213015075,13435.083156272418,-40080.536652,-12278.312416,6625.4359259,1.2778668163,-2.8157401078,-0.73826315092,-4.120820022e-06,5.1534664106e-05,7.498172353e-06,26452.905811623248
34,-1736.840675082259,-6493.307562426628,-926.4154254751937,16349.597908473088,44601.70658732181,15600.589152608578,-38917.015293,-14517.447347,6007.7315208,1.4514928953,-2.7933208264,-0.77058624539,-6.7545470134e-06,5.0311305776e-05,7.9288408925e-06,27254.50901803607
35,5292.408776525423,-1424.596065768227,-1308.2687310300314,16105.501570740502,43887.506761441684,17734.134653176337,-37612.864675,-16728.139501,5365.4715221,1.6269278965,-2.7578384624,-0.80121934831,-9.2918448174e-06,4.8938022686e-05,8.3206085662e-06,28056.112224448898
36,6821.094569777736,6112.889165803114,-137.9369238105357,15828.410336118257,43083.39581084931,19831.34872099829,-36167.536418,-18899.464503,4700.2709578,1.8030470003,-2.7087279395,-0.82983770398,-1.1719728182e-05,4.7419878678e-05,8.6715242026e-06,28857.715430861725
37,5674.889892781696,11866.882581497668,1206.0122938139114,15518.891846380087,42191.02102084348,21887.93481996263,-34581.503952,-21020.147393,4014.0142142,1.9785755014,-2.6455519063,-0.85610528766,-1.4024749899e-05,4.5763663598e-05,8.9797818281e-06,29659.31863727455
38,3809.7176697992086,16274.178458003364,2427.6987558027695,15177.580240627443,41212.21067625956,23899.67971504016,-32856.374094,-23078.694374,3308.8575374,2.1520994975,-2.5680373579,-0.8796829543,-1.6193263396e-05,4.3978112356e-05,9.2438073222e-06,30460.921843687374
39,1720.8238657703241,19799.581106022324,3521.1933515933174,14805.174709771838,40148.96991705752,25862.461941909045,-30994.982535,-25063.553996,2587.2233929,2.3220859702,-2.4761123789,-0.90023859525,-1.8211759041e-05,4.2074083591e-05,9.4623544106e-06,31262.5250501002
40,-428.4454827403189,22700.089187954152,4504.736771022082,14402.438261005987,39003.47716647825,27772.260490727775,-29001.464908,-26963.305724,1851.7852598,2.4869132396,-2.3699402804,-0.917459071,-2.006727213e-05,4.0064674105e-05,9.6346060021e-06,32064.128256513028
41,-2571.5037273742514,25127.47829382308,5394.921235060697,13970.195907932577,37778.078996814584,29625.16272529671,-26881.294994,-28766.871137,1105.4418296,2.6449119676,-2.2499478535,-0.93106342921,-2.1747852686e-05,3.7965243596e-05,9.7602749772e-06,32865.731462925854
42,-4677.510813125894,27178.893221781957,6204.660895807485,13509.333223377027,36475.2859829672,31417.372727514892,-24641.282343,-30463.740241,351.28019224,2.794415782,-2.1168442063,-0.94081664261,-2.3243077657e-05,3.5793325421e-05,9.8396967428e-06,33667.33466933868
43,-6731.051868248835,28920.613093767617,6943.862565839443,13020.794332598807,35097.76703565961,33145.21880158643,-22289.523382,-32044.202628,-407.47159632,2.9338193039,-1.9716268287,-0.94654285622,-2.4544576074e-05,3.3568404174e-05,9.8739045399e-06,34468.9378757515
44,-8724.095793612125,30400.13985865198,7620.213969032871,12505.580097396258,33648.34425553269,34805.16115440033,-19835.302895,-33499.571163,-1167.5012343,3.0616400574,-1.8155722471,-0.94813697334,-2.5646528665e-05,3.1311550228e-05,9.8646780441e-06,35270.54108216433
45,-10652.402267536636,31652.850694352714,8239.779620205887,11964.746039145095,32129.98707858039,36393.799153859334,-17288.946448,-34822.38471,-1925.4758936,3.1765796679,-1.6502098999,-0.94557338756,-2.6546097493e-05,2.9044914855e-05,9.8145566177e-06,36072.144288577154
46,-12513.766317604655,32705.909460779345,8807.420753321174,11399.400117990654,30545.806035969294,37907.87811699521,-14661.62847,-36006.576756,-2678.1098179,3.2775791776,-1.4772795773,-0.93891082057,-2.7243740261e-05,2.6791105745e-05,9.7268108657e-06,36873.747494989984
47,-14307.10111167628,33580.69430484178,9327.089500802085,10810.700584844924,28899.046709692993,39344.29630358081,-11965.144777,-37047.598539,-3422.2321069,3.3638634071,-1.2986746737,-0.92829255543,-2.7743369583e-05,2.457247936e-05,9.6053698605e-06,37675.35070140281
48,-16031.93268485189,34294.373767616424,9802.037459528881,10199.85343507271,27193.08261674852,40700.110789235245,-9211.6616741,-37942.488537,-4154.8508047,3.4349701705,-1.1163752734,-0.91394182556,-2.8052329986e-05,2.2410400528e-05,9.4547061191e-06,38476.95390781563
49,-17688.10986157794,34860.96883721418,10234.966048139788,9568.110180199687,25431.408948901764,41972.544228627055,-6413.4559095,-38689.884439,-4873.2096468,3.4907616913,-0.93237638704,-0.89615265553,-2.8181183432e-05,2.0324527944e-05,9.2796854035e-06,39278.55711422846
50,-19275.631861006903,35292.09167267299,10628.13681078541,8916.765089983912,23617.634893264294,43158.989856220316,-3582.6602881,-39289.978394,-5574.8344614,3.5314175377,-0.7486172087,-0.87527695623,-2.8143315056e-05,1.8332184579e-05,9.0853927721e-06,40080.160320641284
51,-20794.542760705768,35597.473460191366,10983.453672239102,8247.152422835907,21755.475915011688,44257.01677343999,-731.0286795,-39744.420858,-6257.5671757,3.5574104317,-0.56691697391,-0.85170906107,-2.7954390929e-05,1.6447863777e-05,8.876949171e-06,40881.76352705411
52,-22244.865054974358,35785.350405593366,11302.525176693514,7560.643961073035,19848.74687415995,45264.37540569761,2130.2683342,-40056.181938,-6919.5864856,3.5694680246,-0.38892194833,-0.82586908914,-2.7631715234e-05,1.4682906301e-05,8.6593336627e-06,41683.36673346694
53,-23626.556512340958,35862.751715454484,11586.712174894972,6858.646243470769,17901.35432647589,46179.002185182275,4990.8093402,-40229.381536,-7559.4153548,3.5685249051,-0.21606649842,-0.79818651424,-2.7193542716e-05,1.3045363667e-05,8.4372250327e-06,42484.96993987976
54,-24939.48102361126,35835.71834430274,11837.164751545375,6142.597436304923,15917.28784927296,46999.02334578743,7841.0454665,-40269.10051,-8175.9164616,3.5556695675,-0.049549419958,-0.76908513077,-2.6658402406e-05,1.1540042479e-05,8.214873356e-06,43286.57314629258
55,-26183.38785373769,35709.47162349883,12054.851027985063,5413.96443375291,13900.611993844745,47722.75889053944,10672.380825,-40181.18471,-8768.2774195,3.5320908597,0.10967496085,-0.73897029492,-2.6044481333e-05,1.016870671e-05,7.9960078565e-06,44088.17635270541
56,-27357.89574081035,35488.54509152375,12240.579741698692,4674.239986416762,11855.458324108662,48348.72612074309,13477.212649,-39972.052281,-9335.9880042,3.4990277008,0.260892705,-0.70821895443,-2.5369104383e-05,8.9304025035e-06,7.7837829043e-06,44889.77955911824
57,-28462.479571809923,35176.888740065915,12395.017955130837,3924.9395575275958,9786.016718021287,48875.64262816378,16248.935957,-39648.512548,-9878.811754,3.4577248265,0.40361581704,-0.6771726279,-2.4648331393e-05,7.8218641501e-06,7.5807600178e-06,45691.38276553106
58,-29496.45806889029,34777.95237925127,12518.704894364793,3167.5982134805745,7696.526770366548,49302.42894180114,18981.918887,-39217.602404,-10396.754201,3.4093962056,0.53756040424,-0.64613320296,-2.3896677962e-05,6.8379600907e-06,7.3889207889e-06,46492.98597194389
59,-30458.98139422681,34294.7528590834,12612.06262761995,2403.7674956528776,5591.269153174741,49628.2107310416,21671.45536,-38686.443816,-10890.029726,3.3551967498,0.66262033868,-0.61536121674,-2.3126954198e-05,5.9721426795e-06,7.2097039301e-06,47294.58917835671
60,-31349.017811580765,33729.92871840959,12675.40411128969,1635.0122450080287,3474.556855586391,49852.3205599028,24313.701552,-38062.123999,-11359.028656,3.2962021237,0.77883897189,-0.58507616586,-2.2350206912e-05,5.2168732175e-06,7.0440590951e-06,48096.19238476954
61,-32165.338661906437,33085.78496436201,12708.938985321916,862.9073915170823,1350.726334098947,49974.2992960105,26905.602063,-37351.598192,-11804.285854,3.2333958884,0.88638094408,-0.55545835366,-2.1575745864e-05,4.5640025577e-06,6.8925105078e-06,48897.79559118237
62,-32906.50099919878,32364.329905155046,12712.777365120373,89.0347192468654,-775.8713944935489,49993.89705185905,29444.810787,-36561.613764,-12226.451627,3.1676628822,0.98550557471,-0.52665180218,-2.0811233038e-05,4.0050960069e-06,6.7552244288e-06,49699.39879759519
63,-33570.82712202088,31567.3057656382,12686.93181788802,-685.0203579406182,-2900.8796218018306,49911.07367511699,31929.610474,-35698.653605,-12626.265505,3.0997876101,1.0765427984,-0.49876781317,-2.006281482e-05,3.5316983517e-06,6.6320757828e-06,50501.00200400802
64,-34156.38025628426,30696.214128462052,12631.317581537647,-1457.6720498126465,-5019.944888394426,49725.99883890517,34358.834067,-34768.896357,-13004.53311,3.0304564318,1.1598721658,-0.47188883722,-1.9335279439e-05,3.1355402184e-06,6.5227106225e-06,51302.60521042084
65,-34660.93541730023,29752.33731566312,12545.75105398757,-2227.3374503987907,-7128.725935427403,49439.05170445994,36731.789936,-33778.19088,-13362.106168,2.9602624471,1.2359050833,-0.44607239021,-1.8632225347e-05,2.8086905961e-06,6.4266023321e-06,52104.208416833666
66,-35081.94430104761,28736.75648932681,12429.946480505785,-2992.4397647378087,-9222.90255389129,49050.82012909764,39048.192456,-32732.042408,-13699.865551,2.8897121432,1.305070219,-0.42135483024,-1.7956229626e-05,2.5436624217e-06,6.3431004936e-06,52905.811623246496
67,-35416.49273656655,27650.36721519665,12283.510698046146,-3751.4115492144347,-11298.184462985928,48562.099471969705,41308.098705,-31635.608066,-14018.707133,2.8192330462,1.3678018409,-0.39775487247,-1.7309008798e-05,2.3334789712e-06,6.27147212e-06,53707.41482965932
68,-35661.24881221396,26493.893170918764,12105.935701766977,-4502.697918743903,-13350.320088449547,47973.89096083686,43511.851646,-30493.699639,-14319.530195,2.749181794,1.4245307633,-0.37527677062,-1.6691567092e-05,2.1717087825e-06,6.2109355008e-06,54509.01803607214
69,-35812.39920064876,25267.898711283062,11896.588690397992,-5244.759733259829,-15375.105275503474,47287.39964140642,45660.029765,-29310.79179,-14603.228097,2.6798522029,1.4756775408,-0.35391313311,-1.6104329472e-05,2.0524762486e-06,6.1606872528e-06,55310.62124248497
70,-35865.57039111756,23972.801105237955,11654.699108078756,-5976.0767501692335,-17368.391899772512,46504.03190928557,47753.402938,-28091.034238,-14870.680899,2.6114830333,1.5216475464,-0.33364736977,-1.5547258351e-05,1.9704541442e-06,6.1199233575e-06,56112.224448897796
71,-35815.73044192329,22608.883461131325,11379.342026165401,-6695.15073448602,-19326.096353568795,45625.392632425224,49792.894129,-26838.26663,-15122.749664,2.5442652606,1.5628275915,-0.31445578398,-1.5019954088e-05,1.9208433419e-06,6.0878550365e-06,56913.827655310626
